Unnamed: 0,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 60,region
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.06,966.99,1022.16,1116.43,1179.18,1195.55,1301.86,1404.21,1528.85,1648.57,1805.6,1982.57,2163.63,2471.19,2626.1,2525.76,2631.56,2695.44,2932.39,2945.39,2959.52,2718.12,2680.37,3011.25,3147.0,,Europe and Central Asia
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158.11,852.07,615.34,592.48,642.24,711.77,803.05,893.15,1078.48,1036.73,1156.92,1214.52,1332.18,1598.15,2155.61,2516.81,2626.81,2737.21,2299.88,2812.78,2836.72,,,,,,,,Europe and Central Asia
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.86,1032.63,973.92,924.15,795.85,705.37,745.47,830.02,944.46,1034.71,1119.93,1320.51,1475.66,1592.91,1754.58,2025.27,2296.59,2615.6,3053.29,3060.11,3355.06,3435.44,3806.07,4210.82,4387.15,4278.56,4136.9,4332.06,4692.72,,Europe and Central Asia
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3774.5,4046.45,4055.63,3891.48,3928.82,3967.22,4011.81,4084.54,4236.06,4378.13,4534.57,4678.87,4835.61,,Europe and Central Asia
Bulgaria,,,,,,,,,,,,,,,,,,,,,2374.32,2473.55,2596.43,2649.73,2779.82,2776.86,2830.47,2987.84,3180.26,3094.89,3330.72,2521.23,2487.29,2434.5,2335.3,2781.29,2889.88,1963.93,1937.64,2090.69,2296.41,2522.16,2727.28,2924.06,3222.34,3488.8,3815.34,4279.61,4457.33,4289.58,4330.49,4471.94,4647.34,4552.38,4711.31,4921.81,5130.04,5364.23,5639.0,,Europe and Central Asia
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253.11,5424.72,6097.48,6024.26,5872.9,6200.26,6779.6,7420.26,7762.99,8114.2,8474.86,8581.9,9015.13,9288.37,8475.32,8365.41,8483.74,8307.27,8203.44,8036.41,8132.65,8446.4,8815.33,9177.63,,Europe and Central Asia
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6827.61,5377.51,5845.35,5911.91,6156.92,6446.83,6940.64,7148.84,7111.81,7337.46,7475.91,7718.25,7961.91,8345.0,8633.03,8904.62,9215.94,9545.85,9740.41,9624.56,9697.45,9701.9,9570.85,9616.87,9779.43,10120.8,10468.8,10884.8,11217.6,,Europe and Central Asia
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3064.38,3157.99,3378.04,3764.37,4311.97,4509.28,4515.08,4809.95,5175.03,5714.73,6306.59,6857.2,7565.05,8585.09,9352.93,8958.92,7748.52,7696.15,7990.43,8370.07,8699.44,9039.14,9481.93,9911.85,10175.5,10580.0,,Europe and Central Asia
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625.25,2822.68,2970.35,2976.96,3071.69,3071.39,3052.43,3091.86,,,Europe and Central Asia
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4965.35,5055.31,5282.58,5313.84,4931.1,4818.9,4926.82,5177.0,5537.13,5723.7,5997.18,6488.41,7055.41,7213.37,7434.45,7561.41,7651.83,7567.69,7070.12,6888.56,6950.48,6816.54,6838.03,7017.55,7304.98,7682.71,8068.93,8472.65,,Europe and Central Asia
